OBJECTID,FID,id,lat,long,cbsaName,cbsaGUID,plantId,tabID,panelID,panelNumbe,hoverText,heading,weeklyImpr,productTyp,POINT_X,POINT_Y
24,129629,716649,47.633394,-122.375872,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130136,1076032,12546,ELLIOTT AV W EL 78F S/O W GARFIELD ST NF-1,N,224800,BULLETINS,-13622819.76,6046079.931
25,127207,715063,47.5718,-122.337931,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130457,1073182,17773,WEST SEATTLE BRIDGE NL 200F W/O COLORADO AV S EF-4 (TRIVISION),E,138051,POSTERS,-13618596.18,6035910.97
26,128477,715868,47.53899,-122.32181,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,14910733,1074628,16940,E MARGINAL WY S WL 200F S/O S MYRTLE ST SF-1,S,46214,POSTERS,-13616801.6,6030499.033
27,129341,716453,47.730634,-122.292069,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,129840,1075692,8504,LAKE CITY WY NE EL 188F N/O NE 140TH ST SF-2,S,142628,POSTERS,-13613490.85,6062158.353
28,129945,716851,47.626026,-122.367187,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130155,1076415,12755,ELLIOTT AV W EL 256F S/O W MERCER PL SF-2,S,163678,POSTERS,-13621852.95,6044862.868
29,129792,716751,47.64767,-122.35268,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,605821,1076226,12215,NICKERSON ST NL 108F E/O ETRURIA ST WF-3 (TRIVISION),W,58029,POSTERS,-13620238.03,6048438.56
30,134260,723784,47.61528,-122.344294,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002061868,130253,1099024,14677,BELL ST NL 87F W/O 4TH AV EF-1,E,89411,POSTERS,-13619304.51,6043088.128
31,129283,716413,47.725853,-122.292077,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,129830,1075629,8418,LAKE CITY WY NE EL 206F S/O NE 135TH ST NF-1,N,68459,POSTERS,-13613491.74,6061367.124
32,129106,716295,47.687381,-122.312661,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,129797,1075404,8041,LAKE CITY WY NE WL 140F S/O 15TH AV NE SF-1,S,41961,POSTERS,-13615783.14,6055002.863
33,129635,716653,47.633904,-122.376441,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130131,1076040,12503,15TH AV W WL 108F N/O W GARFIELD ST NF-2,N,132466,POSTERS,-13622883.1,6046164.18
34,129314,716436,47.728778,-122.292569,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,129836,1075666,8462,LAKE CITY WY NE WL 278F N/O NE 137TH ST SF-2,S,124225,BULLETINS,-13613546.51,6061851.186
35,129639,716656,47.64366,-122.376545,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130122,1076044,12399,15TH AV W WL 283F N/O RAYE ST SF-1,S,143761,BULLETINS,-13622894.67,6047775.977
36,128827,716113,47.528233,-122.270215,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,129700,1075064,6551,RAINIER AV S WL 144F N/O S THISTLE ST SF-1,S,29508,POSTERS,-13611058.07,6028725.426
37,129621,716643,47.552667,-122.336116,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130298,1076022,16227,E MARGINAL WY S EL 346F S/O S LUCILE ST NF-1,N,182178,BULLETINS,-13618394.14,6032754.612
38,129427,716516,47.662781,-122.34706,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130088,1075797,12022,AURORA AV N EL 31F S/O N 47TH ST SF-2,S,182528,POSTERS,-13619612.42,6050935.848
39,129059,733910,47.59657,-122.317019,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,30818571,1111115,6797,12TH AV S EL 320F S/O S WELLER ST NF-1,N,44676,POSTERS,-13616268.27,6039998.974
40,128779,716083,47.54787,-122.3335,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,30664546,1075011,16260,1ST AV S EL 30F N/O E MARGINAL WY S SF-2,S,259774,BULLETINS,-13618102.93,6031963.435
41,132670,721369,47.522684,-122.359653,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130482,1089696,19090,DELRIDGE WY SW EL 30F S/O SW HENDERSON ST NF-3,N,41397,POSTERS,-13621014.27,6027810.654
42,129697,716691,47.70548,-122.355192,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130017,1076111,11022,GREENWOOD AV N EL 144F N/O N 105TH ST SF-2,S,147230,POSTERS,-13620517.67,6057996.319
43,128593,715943,47.569577,-122.334462,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130308,1074761,16310,1ST AV S WL 735F S/O S SPOKANE ST SF-1,S,47461,POSTERS,-13618210.02,6035544.184
44,128392,715818,47.512584,-122.354852,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130490,1074533,19165,16TH AV SW EL 268F N/O SW 102ND ST SF-2,S,26216,POSTERS,-13620479.82,6026145.88
45,128754,716060,47.61383,-122.30287,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,129735,1074971,7024,23RD AV E WL 326F N/O E UNION ST SF-1,S,32559,POSTERS,-13614693.21,6042848.683
46,126945,714891,47.571906,-122.333021,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130444,1072866,17667,WEST SEATTLE BRIDGE NL 332F E/O 1ST AV S EF-2 (TRIVISION),E,135292,POSTERS,-13618049.6,6035928.46
47,129000,716229,47.602114,-122.328987,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130340,1075285,16559,4TH AV EL 150F N/O YESLER WY SF,S,315979,BULLETINS,-13617600.54,6040914.213
48,128134,715640,47.518059,-122.315241,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130569,1074231,20836,W MARGINAL WY S WL 275F S/O 14TH AV S SF-1,S,57254,POSTERS,-13616070.34,6027048.279
49,129510,716572,47.637508,-122.344606,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130176,1075897,12983,AURORA AV N WL 135F N/O CROCKETT ST SF-1,S,134067,POSTERS,-13619339.24,6046759.565
50,129599,716629,47.578254,-122.339131,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130285,1075991,16081,ALASKAN WY VIADUCT S EL 922F N/O S HANFORD ST NF-1,N,236970,BULLETINS,-13618729.77,6036975.943
51,132458,718473,47.598746,-122.317424,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,129722,1079778,6838,12TH AV S WL 148F N/O S KING ST SF-1,S,0,POSTERS,-13616313.35,6040358.19
52,129774,716743,47.649317,-122.357204,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130112,1076208,12236,NICKERSON ST SL 113F E/O QUEEN ANNE AV N WF-2,W,77872,POSTERS,-13620741.64,6048710.713
53,128081,715598,47.50615,-122.333086,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130548,1074161,20606,MYERS WY S WL 291F N/O 1ST AV S SF-1,S,24226,POSTERS,-13618056.84,6025085.537
54,129456,716539,47.723054,-122.340491,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,129969,1075836,9673,N 130TH ST SL 171F W/O ASHWORTH AV N EF-1,E,57204,POSTERS,-13618881.16,6060903.938
